New York,,,,,,,,,,,,
"Number of beneficiaries with benefits in current-payment status and total monthly benefits, by field office and ZIP Code, December 2015",,,,,,,,,,,,
Field office and ZIP Code,,,Number,,,,,,"Total monthly benefits
(thousands of dollars)",,,Number of OASDI beneficiaries aged 65 or older
,,,Total,Retired workers,Disabled workers,Widow(er)s and parents,Spouses,Children,All beneficiaries,Retired workers,Widow(er)s and parents,
All areas a,,,"59,963,425","40,089,061","8,909,430","4,190,676","2,477,567","4,296,691","73,642,029","53,790,278","5,194,659","43,243,199"
,12958,,465,265,110,25,25,40,516,331,28,285
,12959,,335,180,95,20,15,25,375,224,22,195
,12960,,245,160,40,15,20,10,300,206,21,170
,12961,,60,35,15,5,0,5,77,47,10,40
,12962,,"1,355",900,235,80,60,80,"1,659","1,208",99,920
,12964,,30,25,0,0,5,0,40,34,0,30
,12966,,660,360,160,55,40,45,705,422,67,400
,12969,,115,85,20,0,5,5,142,113,0,80
,12970,,55,50,0,5,0,0,76,68,5,50
,12972,,"1,350",925,230,75,40,80,"1,658","1,229",91,940
,12974,,595,255,120,35,25,160,605,329,43,320
,12975,,75,50,10,10,0,5,94,70,9,55
,12976,,70,55,10,0,5,0,104,88,0,55
,12977,,60,50,0,5,0,5,91,79,7,50
,12978,,115,55,30,5,5,20,120,70,4,55
,12979,,600,375,100,55,25,45,705,489,63,405
,12980,,380,215,95,30,15,25,437,267,31,230
,12981,,545,335,110,45,25,30,668,439,50,340
,12983,,"1,570","1,135",220,90,40,85,"1,962","1,512",127,"1,140"
,12985,,235,140,60,10,10,15,267,176,15,150
,12986,,"1,735",995,240,85,35,380,"1,944","1,249",98,"1,055"
,12987,,65,45,5,5,5,5,79,63,5,50
,12989,,255,190,25,20,5,15,315,248,23,195
,12992,,"1,190",675,315,60,55,85,"1,351",844,74,710
,12993,,485,365,50,30,20,20,604,478,36,395
,12995,,30,20,5,0,5,0,41,30,0,20
,12996,,570,420,75,35,20,20,710,554,47,435
,12997,,300,210,45,25,5,15,360,266,28,205
,12998,,150,70,40,15,5,20,159,87,15,75
,13655,,695,415,80,85,60,55,739,494,92,490
Poughkeepsie,,,"118,085","80,280","17,455","7,195","4,130","9,025","161,599","119,069","10,071","85,770"
,10509,,"3,425","2,395",475,185,105,265,"5,074","3,815",261,"2,535"
,10512,,"4,930","3,420",660,310,170,370,"7,259","5,373",443,"3,660"
,10516,,"1,140",860,105,80,45,50,"1,769","1,409",126,915
,10524,,"1,010",770,80,50,45,65,"1,418","1,130",74,835
,10537,,370,225,70,25,15,35,510,339,38,235
,10541,,"4,495","3,135",570,290,195,305,"6,770","5,000",438,"3,430"
,10542,,100,70,15,5,5,5,146,108,4,70
,10579,,"1,510","1,095",175,75,65,100,"2,312","1,793",104,"1,135"
,12401,,"7,950","4,995","1,495",535,215,710,"9,892","6,906",695,"5,420"
,12402,,515,240,140,30,10,95,571,322,36,265
,12404,,770,520,120,40,25,65,978,721,51,530
,12409,,315,250,20,20,15,10,436,354,28,275
,12410,,105,70,15,10,5,5,130,97,11,80
,12411,,110,80,10,10,5,5,144,118,11,90
,12412,,190,150,15,10,5,10,234,196,8,140
,12416,,65,40,15,0,5,5,82,55,0,40
,12417,,125,65,35,10,5,10,142,87,10,70
,12419,,155,105,20,10,5,15,196,150,17,110
,12420,,95,80,5,5,5,0,141,126,8,90
,12428,,"1,360",815,280,95,40,130,"1,563","1,041",117,875
,12429,,80,60,10,5,5,0,107,82,9,65
,12432,,175,110,30,20,5,10,221,148,27,125
,12433,,125,90,10,15,5,5,175,133,20,100
,12435,,105,65,25,5,5,5,126,84,10,70
,12440,,445,345,45,30,10,15,609,487,43,360
,12441,,65,45,10,0,5,5,79,63,0,45
,12443,,990,745,95,65,40,45,"1,395","1,117",93,805
,12446,,"1,000",665,185,65,30,55,"1,265",910,78,695
,12448,,75,60,5,5,0,5,100,89,4,65
,12449,,935,595,185,70,20,65,"1,174",810,95,635
,12453,,85,60,10,5,0,10,106,84,6,60
,12456,,215,130,45,15,5,20,268,185,17,140
,12457,,190,145,25,5,5,10,238,186,10,140
,12458,,605,395,110,35,25,40,745,528,44,415
,12461,,425,315,50,20,20,20,568,445,26,335
,12464,,290,205,45,20,10,10,346,255,22,205
,12465,,105,75,15,5,5,5,113,89,5,75
,12466,,815,580,130,35,20,50,"1,146",882,56,610
,12471,,95,70,15,5,0,5,128,96,7,70
,12472,,400,265,80,20,15,20,504,364,32,290
,12475,,85,55,15,5,5,5,116,82,7,60
,12477,,"4,510","3,045",740,280,160,285,"5,818","4,260",367,"3,220"
,12480,,155,115,20,10,5,5,193,145,14,120
,12481,,365,280,40,15,20,10,504,404,24,300
,12483,,105,60,20,5,0,20,122,83,6,65
,12484,,725,545,70,40,35,35,"1,015",814,59,570
,12486,,310,220,30,25,15,20,430,328,36,240
,12487,,670,450,105,50,20,45,858,617,66,480
,12489,,110,70,25,5,0,10,130,93,6,70
,12490,,75,60,5,5,5,0,106,89,8,65
,12491,,530,400,50,35,25,20,723,588,48,435
,12493,,90,65,15,5,0,5,106,82,9,65
,12494,,210,165,15,10,10,10,287,237,18,175
,12495,,100,80,5,5,5,5,144,121,11,85
,12498,,"1,585","1,285",120,70,70,40,"2,176","1,846",90,"1,355"
,12501,,450,325,60,15,15,35,605,472,22,335
,12506,,20,15,0,5,0,0,26,19,4,15
,12507,,25,25,0,0,0,0,38,36,0,25
,12508,,"3,420","2,150",705,210,85,270,"4,403","3,014",265,"2,280"
,12510,,35,25,5,0,5,0,52,41,0,25
,12512,,50,35,5,5,5,0,77,58,7,40
,12514,,605,455,65,30,20,35,916,725,46,475
,12515,,370,230,80,10,10,40,461,320,17,240
,12522,,"1,245",865,215,65,30,70,"1,669","1,229",82,895
,12524,,"3,570","2,530",430,265,155,190,"5,153","3,875",389,"2,770"
,12525,,750,535,100,40,25,50,"1,064",800,57,545
,12527,,155,105,30,10,5,5,214,159,12,110
,12528,,"2,785","1,845",445,185,80,230,"3,689","2,682",249,"1,950"
,12531,,555,360,110,25,20,40,794,547,34,385
,12533,,"4,425","3,050",590,245,200,340,"6,473","4,786",354,"3,230"
,12537,,60,45,10,5,0,0,96,72,7,50
,12538,,"3,230","2,265",455,205,100,205,"4,471","3,389",289,"2,405"
,12540,,"1,365",980,160,60,70,95,"1,986","1,522",83,"1,030"
,12542,,"1,235",850,180,80,35,90,"1,667","1,223",110,910
,12545,,"1,165",850,90,85,45,95,"1,676","1,315",128,940
,12546,,705,490,120,35,25,35,940,694,48,520
,12547,,570,385,85,30,20,50,758,561,35,395
,12548,,290,185,55,25,5,20,381,259,32,205
,12561,,"3,110","2,340",320,175,105,170,"4,410","3,548",255,"2,475"
,12563,,"1,315",860,185,75,60,135,"1,797","1,247",113,910
,12564,,"1,435","1,050",160,95,45,85,"2,122","1,633",144,"1,100"
,12567,,665,490,75,40,30,30,905,718,50,525
,12568,,250,140,70,10,10,20,281,171,8,145
,12569,,"2,160","1,395",325,120,70,250,"3,024","2,144",178,"1,480"
,12570,,"1,210",835,165,70,50,90,"1,789","1,321",104,895
,12571,,"2,095","1,505",205,135,80,170,"2,942","2,273",190,"1,600"
,12572,,"2,540","1,950",205,185,105,95,"3,728","2,992",274,"2,115"
,12574,,95,70,15,5,0,5,136,103,5,75
,12578,,465,350,65,20,10,20,689,533,37,350
,12580,,"1,000",695,115,70,20,100,"1,377","1,039",99,735
,12581,,475,325,65,35,20,30,651,482,48,350
,12582,,790,550,120,40,35,45,"1,178",866,60,570
,12583,,415,295,55,25,15,25,553,415,35,310
,12585,,185,130,25,10,5,15,265,202,15,140
,12588,,95,65,15,5,5,5,125,95,9,70
,12589,,"2,390","1,560",365,150,100,215,"3,066","2,153",203,"1,620"
,12590,,"7,005","4,785","1,045",420,285,470,"9,893","7,226",620,"5,120"
,12592,,310,195,50,15,5,45,388,274,20,195
,12594,,705,425,170,30,10,70,931,614,32,420
,12601,,"7,385","4,285","1,665",455,190,790,"8,958","5,953",595,"4,655"
,12602,,235,130,75,5,0,25,265,165,6,135
,12603,,"9,080","5,945","1,185",565,330,"1,055","12,577","9,109",836,"6,580"
,12604,,15,15,0,0,0,0,32,29,0,15
Queensbury,,,"45,700","30,190","7,520","3,110","1,585","3,295","56,738","41,213","3,980","31,855"
,12801,,"3,475","1,955",880,200,90,350,"3,992","2,613",242,"2,055"
,12803,,"1,880","1,250",325,135,55,115,"2,360","1,690",172,"1,320"
,12804,,"6,995","4,905",935,460,225,470,"9,200","7,001",628,"5,175"
,12808,,180,150,10,5,10,5,252,225,5,150
,12809,,890,595,140,50,35,70,"1,062",781,64,630
,12810,,150,90,30,10,5,15,164,113,11,95
,12811,,65,40,10,5,0,10,70,46,7,40
,12814,,550,430,45,35,20,20,753,610,51,445
,12815,,325,245,35,15,15,15,414,333,17,250
,12816,,"1,170",865,145,75,30,55,"1,456","1,134",98,910
,12817,,670,530,65,30,25,20,891,749,38,530
,12819,,80,45,15,10,5,5,87,57,11,50
,12820,,95,75,5,10,5,0,142,117,15,85
,12821,,80,40,20,5,5,10,96,56,5,50
,12822,,"1,570",910,325,105,60,170,"1,848","1,203",128,990
,12823,,110,85,15,5,5,0,148,122,5,85
,12824,,255,190,25,15,15,10,347,278,21,205
,12827,,985,645,175,65,35,65,"1,195",837,84,665
,12828,,"2,420","1,475",480,195,75,195,"2,927","1,987",258,"1,600"
,12831,,"3,200","2,230",460,200,115,195,"4,268","3,183",276,"2,305"
,12832,,"1,635","1,015",285,140,55,140,"1,910","1,319",162,"1,095"
,12833,,885,595,145,60,25,60,"1,131",846,76,595
,12834,,"1,530","1,070",200,105,60,95,"1,947","1,458",140,"1,135"
,12835,,810,575,130,45,30,30,"1,014",774,53,585
,12836,,245,185,25,20,5,10,335,263,32,195
,12837,,185,120,30,15,5,15,224,164,19,130
,12838,,170,120,20,10,10,10,213,165,14,135
,12839,,"3,185","1,825",730,235,110,285,"3,715","2,421",296,"1,995"
,12841,,45,40,0,5,0,0,62,54,4,40
,12843,,155,100,30,10,10,5,183,127,12,110
,12844,,110,95,5,5,5,0,170,151,12,100
,12845,,"1,455","1,055",170,75,60,95,"1,906","1,490",102,"1,075"
,12846,,890,585,145,65,25,70,"1,095",784,82,615
,12848,,20,15,0,5,0,0,27,23,2,15
,12849,,185,130,25,10,5,15,228,173,15,130
,12850,,540,370,90,30,20,30,696,517,34,375
,12851,,130,95,15,5,10,5,155,124,9,105
,12852,,190,140,15,20,5,10,250,187,26,155
,12853,,450,275,70,50,20,35,524,358,55,315
,12854,,125,85,25,5,5,5,150,112,6,85
,12856,,80,65,5,5,5,0,113,92,9,70
,12857,,200,150,20,15,5,10,248,197,15,150
,12858,,30,25,0,5,0,0,34,29,3,25
,12859,,395,245,85,15,15,35,478,333,16,240
,12860,,215,155,30,5,10,15,245,191,7,160
,12861,,190,130,20,15,10,15,245,185,20,135
,12862,,25,15,5,0,0,5,33,23,0,15
,12865,,950,650,130,60,40,70,"1,160",870,72,660
,12870,,495,360,55,35,20,25,618,477,42,370
,12872,,25,20,5,0,0,0,35,25,0,20
,12873,,235,170,25,20,10,10,300,232,26,190
,12874,,55,45,0,0,5,5,81,66,0,50
,12878,,205,140,30,15,5,15,242,175,20,145
,12883,,"1,385",855,215,140,60,115,"1,676","1,177",174,965
,12885,,"1,310",815,245,110,35,105,"1,508","1,040",132,875
,12886,,70,50,10,5,0,5,92,72,6,55
,12887,,"1,230",720,260,85,45,120,"1,392",923,99,745
,12928,,520,340,85,35,25,35,631,461,42,365
Rego Park,,,"73,955","53,815","8,200","4,500","4,450","2,990","85,773","66,599","5,337","58,910"
,11368,,"9,345","6,390","1,300",520,620,515,"8,905","6,510",533,"6,945"
,11369,,"4,515","3,215",585,225,225,265,"5,004","3,855",244,"3,415"
,11372,,"9,455","7,095",930,515,585,330,"10,703","8,638",563,"7,735"
,11373,,"11,175","8,430",995,560,805,385,"10,883","8,737",569,"9,050"
,11374,,"7,505","5,670",760,450,415,210,"9,157","7,307",567,"6,215"
,11375,,"12,700","10,005",910,775,720,290,"17,930","14,900","1,082","11,065"
,11379,,"7,060","5,160",750,520,365,265,"9,416","7,164",706,"5,700"
,11380,,55,40,5,5,5,0,65,49,8,45
,11385,,"11,970","7,705","1,915",925,705,720,"13,522","9,317","1,059","8,625"
,11386,,175,105,50,5,5,10,188,122,6,115
Ridge Road,,,"94,935","63,455","14,050","7,450","3,475","6,505","123,072","89,258","10,112","68,690"
,14004,,"2,555","1,785",355,170,105,140,"3,432","2,554",243,"1,885"
,14006,,"2,540","1,585",475,210,95,175,"3,200","2,190",276,"1,690"
,14010,,20,15,5,0,0,0,20,16,0,10
,14025,,645,460,80,45,30,30,886,672,61,480
,14026,,160,115,15,5,10,15,206,161,9,125
,14027,,60,45,10,5,0,0,74,62,4,45
,14030,,365,250,55,20,15,25,437,319,30,260
,14033,,520,370,65,35,25,25,716,550,49,375
,14034,,510,310,105,30,15,50,620,428,38,315
,14035,,40,30,5,0,5,0,52,41,0,35
,14043,,"6,540","4,535",875,525,230,375,"8,562","6,362",719,"4,940"
,14047,,"1,640","1,025",275,105,55,180,"2,114","1,467",142,"1,065"
,14052,,"4,095","3,110",335,320,180,150,"5,876","4,684",474,"3,355"
,14055,,360,255,45,20,20,20,464,352,30,270
,14057,,"1,800","1,230",245,155,85,85,"2,429","1,758",204,"1,340"
,14059,,"2,590","1,925",245,145,115,160,"3,638","2,879",213,"2,045"
,14061,,65,35,15,5,5,5,81,47,10,45
,14069,,180,135,25,5,10,5,265,206,10,135
,14075,,"10,800","7,735","1,340",870,370,485,"14,709","11,158","1,203","8,260"
,14080,,930,640,135,55,40,60,"1,215",913,78,655
,14085,,"1,350",940,180,80,50,100,"1,870","1,409",113,955
,14091,,290,185,50,25,10,20,346,240,30,200
,14102,,275,205,30,15,10,15,377,300,23,215
,14110,,30,25,5,0,0,0,41,31,0,25
,14111,,645,420,110,50,30,35,804,563,69,455
,14112,,35,25,5,5,0,0,45,34,3,30
,14127,,"7,230","5,370",640,540,345,335,"10,427","8,232",790,"5,835"
,14134,,100,80,10,5,5,0,131,110,8,85
,14139,,485,330,70,40,25,20,642,465,53,355
,14140,,20,10,5,5,0,0,29,19,5,15
,14141,,"1,985","1,325",275,145,90,150,"2,471","1,803",188,"1,420"
,14169,,65,40,15,5,0,5,82,55,7,40
,14170,,575,425,45,45,25,35,792,624,65,445
,14206,,"4,595","2,530","1,125",395,110,435,"5,153","3,202",474,"2,745"
,14212,,"1,995",990,575,165,45,220,"2,013","1,162",181,"1,080"
,14218,,"4,670","2,640","1,005",410,175,440,"5,376","3,421",519,"2,985"
,14219,,"2,735","1,815",440,205,90,185,"3,474","2,500",280,"1,970"
,14220,,"4,860","2,760","1,105",385,175,435,"5,751","3,656",493,"2,960"
,14224,,"11,695","7,770","1,355",880,405,"1,285","15,322","10,990","1,217","8,600"
,14225,,"7,870","5,135","1,280",725,235,495,"9,895","6,971",984,"5,630"
,14227,,"7,015","4,845","1,020",600,240,310,"9,035","6,652",812,"5,315"
Riverhead,,,"41,565","31,290","3,835","2,465","1,685","2,290","60,630","48,474","3,598","33,665"
,06390,,55,45,5,0,5,0,86,69,0,50
,11792,,"1,730","1,190",190,65,75,210,"2,538","1,928",96,"1,245"
,11901,,"5,965","4,155",845,400,180,385,"7,977","5,999",532,"4,515"
,11930,,555,455,25,35,25,15,827,706,51,505
,11931,,620,480,65,35,25,15,887,725,48,505
,11932,,470,390,30,20,15,15,737,641,32,415
,11933,,"2,010","1,510",210,120,90,80,"2,834","2,238",173,"1,640"
,11934,,"1,510","1,010",200,105,60,135,"2,129","1,551",152,"1,080"
,11935,,955,770,45,65,50,25,"1,469","1,241",95,860
,11937,,"3,130","2,475",190,190,155,120,"4,699","3,899",301,"2,660"
,11939,,330,280,15,10,20,5,475,422,14,295
,11940,,"1,270",945,140,70,50,65,"1,872","1,460",103,995
,11941,,680,555,50,20,25,30,"1,048",902,30,565
,11942,,"1,000",770,95,55,30,50,"1,482","1,187",73,800
,11944,,"1,290","1,000",100,100,50,40,"1,864","1,527",147,"1,105"
,11946,,"2,695","2,070",245,160,110,110,"3,852","3,112",227,"2,210"
,11947,,335,270,25,25,10,5,515,430,36,295
,11948,,300,230,30,10,15,15,460,379,18,240
,11949,,"3,020","1,840",435,155,110,480,"4,159","2,791",230,"1,990"
,11952,,"1,225",955,110,65,45,50,"1,838","1,507",101,"1,025"
,11954,,940,770,65,55,25,25,"1,366","1,152",79,820
,11956,,135,110,10,10,5,0,205,171,17,120
,11957,,315,270,10,20,10,5,483,428,25,290
,11958,,265,205,30,15,10,5,372,300,20,210
,11959,,440,340,30,25,35,10,709,570,44,390
,11960,,380,305,20,20,10,25,645,543,33,320
,11962,,170,140,5,5,15,5,286,253,10,155
,11963,,"1,810","1,455",110,90,75,80,"2,738","2,298",140,"1,545"
,11964,,490,390,20,35,25,20,761,630,52,435
,11965,,325,280,5,20,15,5,533,477,28,300
,11968,,"2,330","1,795",160,165,105,105,"3,518","2,874",250,"1,970"
,11969,,540,400,65,35,20,20,785,614,51,430
,11970,,165,145,5,10,5,0,265,240,13,155
,11971,,"1,805","1,490",95,95,75,50,"2,681","2,300",133,"1,585"
,11972,,160,120,15,10,10,5,218,173,14,130
,11975,,205,170,10,10,10,5,325,281,22,185
,11976,,455,370,20,30,20,15,709,601,46,395
,11977,,715,565,40,55,30,25,"1,112",931,74,605
,11978,,775,575,70,55,40,35,"1,171",924,85,630
"Rochester, Downtown",,,"87,335","56,480","15,905","4,795","2,870","7,285","112,433","82,133","6,489","60,140"
,14445,,"1,940","1,085",355,80,40,380,"2,407","1,537",115,"1,140"
,14450,,"9,440","7,455",685,535,400,365,"13,841","11,483",821,"7,890"
,14467,,"2,165","1,560",300,120,70,115,"2,927","2,260",170,"1,640"
,14472,,"1,635","1,255",130,100,75,75,"2,430","1,977",143,"1,325"
,14506,,255,190,15,15,20,15,386,316,20,210
,14526,,"4,390","3,440",310,270,210,160,"6,443","5,310",402,"3,645"
,14534,,"7,135","5,680",305,440,465,245,"11,343","9,528",730,"6,290"
,14543,,775,585,65,45,35,45,"1,106",888,62,625
,14586,,"1,615","1,065",270,80,55,145,"2,124","1,534",112,"1,090"
,14602,,50,30,15,5,0,0,66,46,2,35
,14603,,210,95,80,5,5,25,211,111,6,100
,14604,,"1,175",370,560,60,15,170,"1,099",402,60,425
,14605,,"1,885",745,645,100,50,345,"1,633",822,90,805
,14606,,"6,270","3,920","1,350",320,175,505,"7,510","5,242",399,"4,100"
,14607,,"1,980","1,150",570,80,50,130,"2,417","1,613",102,"1,185"
,14608,,"1,910",900,660,85,20,245,"1,921","1,103",88,945
,14609,,"8,140","4,710","2,000",430,180,820,"9,541","6,335",529,"4,895"
,14610,,"3,290","2,540",315,205,125,105,"4,941","4,051",321,"2,735"
,14611,,"3,945","1,785","1,345",165,55,595,"4,030","2,216",173,"1,865"
,14613,,"1,970",845,655,100,30,340,"1,953","1,044",97,880
,14614,,60,45,10,5,0,0,72,57,3,40
,14615,,"2,980","1,790",670,170,80,270,"3,678","2,499",232,"1,875"
,14618,,"4,475","3,530",270,275,240,160,"6,823","5,646",442,"3,880"
,14619,,"2,735","1,555",710,110,35,325,"3,308","2,214",128,"1,590"
,14620,,"3,820","2,310",845,230,90,345,"4,734","3,229",308,"2,520"
,14621,,"6,250","3,025","1,860",365,155,845,"6,142","3,545",359,"3,280"
,14623,,"3,775","2,600",575,230,95,275,"4,978","3,705",318,"2,750"
,14625,,"2,780","2,125",280,165,100,110,"4,048","3,282",250,"2,260"
,14692,,285,95,55,5,0,130,321,138,7,120
"Rochester, Greece",,,"70,080","50,400","9,185","4,120","2,335","4,040","95,769","73,580","5,821","52,425"
,14410,,20,20,0,0,0,0,30,26,0,15
,14420,,"3,340","2,280",520,220,115,205,"4,441","3,271",301,"2,370"
,14428,,"1,840","1,370",230,95,55,90,"2,570","2,010",137,"1,405"
,14430,,25,15,5,0,0,5,30,16,0,15
,14464,,"1,500",965,310,70,45,110,"1,939","1,375",96,955
,14468,,"4,325","3,135",530,260,150,250,"5,970","4,597",369,"3,250"
,14511,,125,95,15,5,0,10,173,135,9,95
,14514,,"1,335",955,170,85,50,75,"1,779","1,358",120,"1,025"
,14515,,45,35,10,0,0,0,72,54,0,35
,14546,,"1,020",745,110,70,30,65,"1,411","1,100",98,765
,14559,,"3,920","2,975",430,210,120,185,"5,445","4,368",299,"3,005"
,14563,,15,10,0,0,5,0,19,16,0,10
,14580,,"12,160","9,245","1,095",730,465,625,"17,313","13,927","1,060","9,755"
,14612,,"8,295","5,790","1,320",495,260,430,"11,246","8,364",686,"5,955"
,14616,,"6,435","4,220","1,120",440,200,455,"8,395","6,012",618,"4,485"
,14617,,"5,660","4,130",730,315,200,285,"7,797","6,057",452,"4,300"
,14622,,"3,185","2,275",445,210,90,165,"4,271","3,249",281,"2,395"
,14624,,"8,645","6,155","1,105",435,245,705,"11,759","9,021",619,"6,285"
,14626,,"8,190","5,985","1,040",480,305,380,"11,109","8,624",672,"6,305"
Rockaway Park,,,"18,660","11,350","3,665","1,135",680,"1,830","21,830","14,575","1,331","12,415"
,11690,,215,120,50,10,10,25,221,138,12,125
,11691,,"7,970","4,690","1,590",520,290,880,"8,231","5,322",542,"5,210"
,11692,,"2,795","1,540",640,185,95,335,"2,887","1,784",191,"1,685"
,11693,,"2,190","1,305",480,120,85,200,"2,577","1,639",143,"1,405"
,11694,,"4,285","2,770",795,225,155,340,"5,975","4,158",326,"3,005"
,11697,,"1,205",925,110,75,45,50,"1,939","1,534",117,985
Schenectady,,,"82,075","57,055","11,330","5,165","2,825","5,700","106,721","81,082","6,909","60,015"
,12008,,90,70,5,5,5,5,119,100,8,75
,12010,,"7,030","4,565","1,235",410,195,625,"8,256","5,979",503,"4,730"
,12019,,"3,235","2,570",220,175,155,115,"4,670","3,884",262,"2,685"
,12020,,"6,295","4,365",865,405,190,470,"8,224","6,157",543,"4,550"
,12027,,885,670,70,50,55,40,"1,257","1,017",73,725
,12031,,60,45,5,5,0,5,67,49,8,40
,12035,,200,140,25,15,10,10,245,185,20,155
,12036,,80,55,10,5,5,5,92,70,4,55
,12043,,"1,695","1,150",260,145,45,95,"2,084","1,526",185,"1,225"
,12053,,865,620,115,40,30,60,"1,171",910,52,630
,12056,,540,395,65,35,20,25,732,567,49,385
,12065,,"8,060","6,115",795,455,320,375,"11,483","9,267",656,"6,395"
,12066,,460,305,75,30,15,35,576,406,43,310
,12070,,375,250,60,20,20,25,468,345,27,265
,12071,,85,50,20,5,0,10,100,61,7,45
,12073,,40,30,5,0,0,5,54,43,0,30
,12074,,690,515,75,30,25,45,923,751,39,520
,12076,,360,260,45,20,15,20,466,351,30,270
,12086,,520,405,55,30,10,20,695,555,41,405
,12092,,275,195,40,15,5,20,329,255,18,190
,12093,,440,295,75,30,10,30,523,381,34,305
,12122,,"1,180",820,175,75,50,60,"1,438","1,077",94,860
,12131,,70,45,5,10,5,5,84,59,14,55
,12137,,400,280,60,25,10,25,531,397,31,280
,12141,,20,20,0,0,0,0,31,25,0,20
,12148,,"1,085",875,45,75,50,40,"1,576","1,325",112,935
,12149,,485,330,80,30,15,30,559,407,36,345
,12150,,210,160,25,10,10,5,280,222,16,160
,12151,,170,140,15,5,5,5,235,196,10,140
,12157,,"1,100",690,165,75,35,135,"1,329",941,93,740
,12160,,185,130,25,10,10,10,215,162,10,130
,12175,,245,175,35,10,15,10,298,230,15,180
,12187,,220,150,25,15,15,15,270,201,20,160
,12194,,55,35,15,0,0,5,66,41,0,35
,12301,,195,85,70,5,10,25,200,115,6,90
,12302,,"6,450","4,860",640,435,240,275,"8,844","7,033",605,"5,125"
,12303,,"6,295","4,300",935,430,190,440,"7,898","5,911",556,"4,480"
,12304,,"4,665","2,675",905,290,115,680,"5,361","3,535",350,"2,930"
,12305,,"1,120",430,430,55,15,190,"1,123",506,59,475
,12306,,"5,920","4,130",835,410,175,370,"7,579","5,668",538,"4,310"
,12307,,"1,200",385,495,60,25,235,955,382,61,425
,12308,,"2,295","1,265",560,150,55,265,"2,593","1,732",174,"1,350"
,12309,,"6,095","4,695",440,385,300,275,"8,947","7,337",566,"5,050"
,12325,,35,25,5,5,0,0,49,36,5,30
,12863,,130,75,25,10,5,15,158,112,11,85
,12866,,"8,555","6,250","1,000",565,295,445,"11,860","9,315",800,"6,610"
,12871,,790,540,110,55,30,55,988,731,73,570
,12884,,105,65,20,5,5,10,119,79,7,65
,13459,,520,360,70,40,15,35,601,448,42,390
Staten Island,,,"63,730","41,000","10,060","4,455","3,125","5,090","87,833","60,587","6,138","44,925"
,10302,,"2,855","1,675",605,170,110,295,"3,553","2,284",220,"1,815"
,10303,,"3,440","1,795",850,180,155,460,"3,934","2,341",213,"1,925"
,10306,,"11,950","7,805","1,830",920,585,810,"16,320","11,363","1,254","8,685"
,10307,,"2,465","1,440",480,160,110,275,"3,465","2,166",223,"1,545"
,10308,,"6,160","4,050",955,410,320,425,"8,836","6,112",587,"4,400"
,10309,,"5,985","3,660","1,005",450,320,550,"8,422","5,510",633,"4,075"
,10312,,"13,035","8,675","1,855",910,655,940,"18,760","13,241","1,315","9,385"
,10313,,40,20,10,5,0,5,57,31,7,25
,10314,,"17,800","11,880","2,470","1,250",870,"1,330","24,486","17,539","1,686","13,070"
"Staten Island, Hylan Blvd",,,"25,050","15,500","4,650","1,615","1,020","2,265","31,883","21,641","2,055","16,820"
,10301,,"6,820","4,350","1,265",430,235,540,"8,930","6,243",557,"4,700"
,10304,,"6,690","4,090","1,255",425,290,630,"8,269","5,608",531,"4,465"
,10305,,"7,610","4,760","1,365",520,355,610,"9,543","6,430",653,"5,165"
,10310,,"3,930","2,300",765,240,140,485,"5,141","3,360",314,"2,490"
Syracuse,,,"125,495","84,985","19,815","7,855","3,920","8,920","161,487","120,009","10,499","89,285"
,13020,,40,20,10,5,0,5,52,34,7,30
,13021,,"9,320","6,300","1,505",605,240,670,"11,586","8,573",770,"6,530"
,13027,,"7,160","5,160",885,450,270,395,"9,839","7,601",646,"5,380"
,13029,,"1,365",915,225,85,45,95,"1,821","1,316",117,955
,13030,,"1,000",665,180,50,30,75,"1,322",961,65,685
,13031,,"3,780","2,855",360,250,140,175,"5,279","4,213",364,"3,045"
,13033,,760,480,140,45,25,70,932,654,50,485
,13035,,"1,770","1,335",155,125,80,75,"2,494","1,991",184,"1,440"
,13037,,"1,920","1,275",295,135,70,145,"2,475","1,803",183,"1,360"
,13039,,"3,260","2,305",435,215,90,215,"4,419","3,318",300,"2,365"
,13040,,630,415,110,35,20,50,713,513,46,430
,13041,,"1,975","1,320",315,115,75,150,"2,636","1,906",164,"1,355"
,13045,,"5,560","3,760",955,355,125,365,"6,688","4,994",450,"3,885"
,13051,,25,15,5,5,0,0,27,18,4,15
,13052,,490,350,65,25,15,35,589,460,27,345
,13057,,"3,800","2,625",570,235,115,255,"4,939","3,716",323,"2,780"
,13060,,740,520,105,40,30,45,940,716,54,540
,13061,,215,155,30,10,10,10,288,228,11,160
,13063,,345,255,35,20,10,25,457,358,23,255
,13066,,"3,090","2,370",220,205,165,130,"4,703","3,813",341,"2,595"
,13072,,195,130,30,15,10,10,222,154,20,135
,13077,,"1,485","1,055",185,95,45,105,"1,865","1,420",120,"1,110"
,13078,,"2,160","1,665",160,150,90,95,"3,216","2,610",229,"1,805"
,13080,,865,600,130,45,30,60,"1,102",830,57,610
,13082,,"1,200",815,200,85,30,70,"1,537","1,113",115,850
,13084,,945,685,125,55,35,45,"1,289",993,77,705
,13087,,75,60,10,5,0,0,94,77,6,55
,13088,,"5,440","4,035",605,350,180,270,"7,313","5,767",498,"4,280"
,13089,,65,40,10,5,0,10,80,57,8,45
,13090,,"5,420","3,770",785,300,190,375,"7,398","5,567",433,"3,865"
