"DBN","School.Name","Year","Total.Enrollment","Grade.PK","Grade.K","Grade.1","Grade.2","Grade.3","Grade.4","Grade.5","Grade.6","Grade.7","Grade.8","Grade.9","Grade.10","Grade.11","Grade.12","X..Female","X..Female.1","X..Male","X..Male.1","X..Asian","X..Asian.1","X..Black","X..Black.1","X..Hispanic","X..Hispanic.1","X..Other","X..Other.1","X..White","X..White.1","X..Students.with.Disabilities","X..Students.with.Disabilities.1","X..English.Language.Learners","X..English.Language.Learners.1","X..Poverty","X..Poverty.1"
"02M150","P.S. 150","2015-16",184,18,28,25,27,29,29,28,0,0,0,0,0,0,0,87,"47.3%",97,"52.7%",29,"15.8%",10,"5.4%",25,"13.6%",19,"10.3%",101,"54.9%",26,"14.1%",4,"2.2%",26,"14.1%"
"02M151","Yorkville Community School","2011-12",280,0,117,85,78,0,0,0,0,0,0,0,0,0,0,136,"48.6%",144,"51.4%",25,"8.9%",33,"11.8%",82,"29.3%",4,"1.4%",136,"48.6%",44,"15.7%",17,"6.1%",99,"35.4%"
"02M151","Yorkville Community School","2012-13",373,0,97,121,72,83,0,0,0,0,0,0,0,0,0,165,"44.2%",208,"55.8%",31,"8.3%",44,"11.8%",103,"27.6%",10,"2.7%",185,"49.6%",64,"17.2%",23,"6.2%",138,"37.0%"
"02M151","Yorkville Community School","2013-14",485,0,112,97,116,77,83,0,0,0,0,0,0,0,0,230,"47.4%",255,"52.6%",31,"6.4%",63,"13.0%",120,"24.7%",28,"5.8%",243,"50.1%",83,"17.1%",31,"6.4%",176,"36.3%"
"02M151","Yorkville Community School","2014-15",572,0,92,103,97,117,81,82,0,0,0,0,0,0,0,273,"47.7%",299,"52.3%",40,"7.0%",80,"14.0%",143,"25.0%",40,"7.0%",269,"47.0%",108,"18.9%",42,"7.3%",222,"38.8%"
"02M151","Yorkville Community School","2015-16",548,0,74,91,95,90,117,81,0,0,0,0,0,0,0,263,"48.0%",285,"52.0%",36,"6.6%",77,"14.1%",148,"27.0%",31,"5.7%",256,"46.7%",107,"19.5%",36,"6.6%",221,"40.3%"
"02M158","P.S. 158 Bayard Taylor","2011-12",759,35,124,135,125,116,124,100,0,0,0,0,0,0,0,364,"48.0%",395,"52.0%",70,"9.2%",22,"2.9%",101,"13.3%",26,"3.4%",540,"71.1%",154,"20.3%",32,"4.2%",135,"17.8%"
"02M158","P.S. 158 Bayard Taylor","2012-13",775,36,144,125,128,111,108,123,0,0,0,0,0,0,0,384,"49.5%",391,"50.5%",75,"9.7%",25,"3.2%",91,"11.7%",27,"3.5%",557,"71.9%",146,"18.8%",19,"2.5%",119,"15.4%"
"02M158","P.S. 158 Bayard Taylor","2013-14",747,36,124,137,112,123,105,110,0,0,0,0,0,0,0,369,"49.4%",378,"50.6%",78,"10.4%",30,"4.0%",77,"10.3%",27,"3.6%",535,"71.6%",162,"21.7%",26,"3.5%",99,"13.3%"
"02M158","P.S. 158 Bayard Taylor","2014-15",761,72,142,117,124,96,111,99,0,0,0,0,0,0,0,378,"49.7%",383,"50.3%",83,"10.9%",29,"3.8%",83,"10.9%",28,"3.7%",538,"70.7%",142,"18.7%",32,"4.2%",101,"13.3%"
"02M158","P.S. 158 Bayard Taylor","2015-16",763,72,125,139,106,120,91,110,0,0,0,0,0,0,0,373,"48.9%",390,"51.1%",83,"10.9%",29,"3.8%",75,"9.8%",32,"4.2%",544,"71.3%",124,"16.3%",39,"5.1%",88,"11.5%"
"02M167","J.H.S. 167 Robert F. Wagner","2011-12",1243,0,0,0,0,0,0,0,432,397,414,0,0,0,0,577,"46.4%",666,"53.6%",336,"27.0%",126,"10.1%",293,"23.6%",7,"0.6%",481,"38.7%",192,"15.4%",64,"5.1%",1243,"100.0%"
"02M167","J.H.S. 167 Robert F. Wagner","2012-13",1216,0,0,0,0,0,0,0,402,433,381,0,0,0,0,557,"45.8%",659,"54.2%",348,"28.6%",110,"9.0%",300,"24.7%",5,"0.4%",453,"37.3%",188,"15.5%",49,"4.0%",606,"49.8%"
"02M167","J.H.S. 167 Robert F. Wagner","2013-14",1345,0,0,0,0,0,0,0,479,423,443,0,0,0,0,624,"46.4%",721,"53.6%",378,"28.1%",111,"8.3%",311,"23.1%",27,"2.0%",518,"38.5%",224,"16.7%",62,"4.6%",635,"47.2%"
"02M167","J.H.S. 167 Robert F. Wagner","2014-15",1364,0,0,0,0,0,0,0,453,483,428,0,0,0,0,637,"46.7%",727,"53.3%",375,"27.5%",132,"9.7%",298,"21.8%",36,"2.6%",523,"38.3%",251,"18.4%",61,"4.5%",643,"47.1%"
"02M167","J.H.S. 167 Robert F. Wagner","2015-16",1343,0,0,0,0,0,0,0,435,423,485,0,0,0,0,634,"47.2%",709,"52.8%",372,"27.7%",112,"8.3%",251,"18.7%",46,"3.4%",562,"41.8%",242,"18.0%",52,"3.9%",588,"43.8%"
"02M177","Yorkville East Middle School","2014-15",56,0,0,0,0,0,0,0,56,0,0,0,0,0,0,25,"44.6%",31,"55.4%",7,"12.5%",5,"8.9%",16,"28.6%",4,"7.1%",24,"42.9%",16,"28.6%",2,"3.6%",20,"35.7%"
"02M177","Yorkville East Middle School","2015-16",142,0,0,0,0,0,0,0,84,58,0,0,0,0,0,64,"45.1%",78,"54.9%",16,"11.3%",15,"10.6%",42,"29.6%",9,"6.3%",60,"42.3%",40,"28.2%",2,"1.4%",52,"36.6%"
"02M183","P.S. 183 Robert L. Stevenson","2011-12",609,0,110,117,116,90,96,80,0,0,0,0,0,0,0,269,"44.2%",340,"55.8%",99,"16.3%",31,"5.1%",72,"11.8%",29,"4.8%",378,"62.1%",115,"18.9%",33,"5.4%",72,"11.8%"
"02M183","P.S. 183 Robert L. Stevenson","2012-13",619,0,118,107,116,107,91,80,0,0,0,0,0,0,0,272,"43.9%",347,"56.1%",104,"16.8%",26,"4.2%",67,"10.8%",23,"3.7%",399,"64.5%",123,"19.9%",32,"5.2%",67,"10.8%"
"02M183","P.S. 183 Robert L. Stevenson","2013-14",606,0,110,97,97,108,109,85,0,0,0,0,0,0,0,275,"45.4%",331,"54.6%",101,"16.7%",29,"4.8%",55,"9.1%",22,"3.6%",399,"65.8%",123,"20.3%",32,"5.3%",57,"9.4%"
"02M183","P.S. 183 Robert L. Stevenson","2014-15",595,0,118,94,93,86,106,98,0,0,0,0,0,0,0,279,"46.9%",316,"53.1%",116,"19.5%",22,"3.7%",60,"10.1%",17,"2.9%",380,"63.9%",120,"20.2%",33,"5.5%",57,"9.6%"
"02M183","P.S. 183 Robert L. Stevenson","2015-16",555,0,117,101,74,92,77,94,0,0,0,0,0,0,0,248,"44.7%",307,"55.3%",94,"16.9%",22,"4.0%",58,"10.5%",14,"2.5%",367,"66.1%",101,"18.2%",33,"5.9%",45,"8.1%"
"02M198","P.S. 198 Isador E. Ida Straus","2011-12",551,31,86,103,64,94,85,88,0,0,0,0,0,0,0,253,"45.9%",298,"54.1%",63,"11.4%",107,"19.4%",233,"42.3%",10,"1.8%",138,"25.0%",109,"19.8%",43,"7.8%",379,"68.8%"
"02M198","P.S. 198 Isador E. Ida Straus","2012-13",542,28,86,81,107,61,92,87,0,0,0,0,0,0,0,247,"45.6%",295,"54.4%",74,"13.7%",98,"18.1%",200,"36.9%",12,"2.2%",158,"29.2%",106,"19.6%",45,"8.3%",344,"63.5%"
"02M198","P.S. 198 Isador E. Ida Straus","2013-14",495,28,59,85,77,104,56,86,0,0,0,0,0,0,0,229,"46.3%",266,"53.7%",65,"13.1%",71,"14.3%",187,"37.8%",4,"0.8%",168,"33.9%",98,"19.8%",31,"6.3%",285,"57.6%"
"02M198","P.S. 198 Isador E. Ida Straus","2014-15",462,27,80,55,77,72,100,51,0,0,0,0,0,0,0,217,"47.0%",245,"53.0%",65,"14.1%",63,"13.6%",142,"30.7%",5,"1.1%",187,"40.5%",95,"20.6%",28,"6.1%",235,"50.9%"
"02M198","P.S. 198 Isador E. Ida Straus","2015-16",498,48,77,72,56,75,69,101,0,0,0,0,0,0,0,235,"47.2%",263,"52.8%",80,"16.1%",52,"10.4%",133,"26.7%",7,"1.4%",226,"45.4%",89,"17.9%",34,"6.8%",211,"42.4%"
"02M212","P.S. 212 Midtown West","2011-12",343,0,64,55,57,58,56,53,0,0,0,0,0,0,0,174,"50.7%",169,"49.3%",41,"12.0%",40,"11.7%",71,"20.7%",21,"6.1%",170,"49.6%",51,"14.9%",13,"3.8%",90,"26.2%"
"02M212","P.S. 212 Midtown West","2012-13",348,0,56,64,58,57,57,56,0,0,0,0,0,0,0,181,"52.0%",167,"48.0%",36,"10.3%",32,"9.2%",75,"21.6%",32,"9.2%",173,"49.7%",58,"16.7%",13,"3.7%",91,"26.1%"
"02M212","P.S. 212 Midtown West","2013-14",343,0,56,55,62,58,56,56,0,0,0,0,0,0,0,175,"51.0%",168,"49.0%",37,"10.8%",29,"8.5%",74,"21.6%",30,"8.7%",173,"50.4%",58,"16.9%",9,"2.6%",81,"23.6%"
"02M212","P.S. 212 Midtown West","2014-15",361,18,56,56,57,60,58,56,0,0,0,0,0,0,0,190,"52.6%",171,"47.4%",28,"7.8%",25,"6.9%",79,"21.9%",48,"13.3%",181,"50.1%",49,"13.6%",9,"2.5%",70,"19.4%"
"02M212","P.S. 212 Midtown West","2015-16",378,36,56,57,59,56,59,55,0,0,0,0,0,0,0,202,"53.4%",176,"46.6%",39,"10.3%",22,"5.8%",86,"22.8%",50,"13.2%",181,"47.9%",47,"12.4%",9,"2.4%",80,"21.2%"
"02M217","P.S./I.S. 217 Roosevelt Island","2011-12",416,34,71,67,61,28,40,32,34,27,22,0,0,0,0,229,"55.0%",187,"45.0%",102,"24.5%",109,"26.2%",93,"22.4%",0,"0.0%",112,"26.9%",46,"11.1%",39,"9.4%",178,"42.8%"
"02M217","P.S./I.S. 217 Roosevelt Island","2012-13",476,31,95,80,69,58,24,36,24,34,25,0,0,0,0,256,"53.8%",220,"46.2%",120,"25.2%",116,"24.4%",91,"19.1%",4,"0.8%",145,"30.5%",54,"11.3%",27,"5.7%",194,"40.8%"
"02M217","P.S./I.S. 217 Roosevelt Island","2013-14",518,36,91,94,71,63,49,30,23,25,36,0,0,0,0,272,"52.5%",246,"47.5%",141,"27.2%",114,"22.0%",89,"17.2%",11,"2.1%",163,"31.5%",56,"10.8%",38,"7.3%",208,"40.2%"
"02M217","P.S./I.S. 217 Roosevelt Island","2014-15",536,30,107,98,83,60,57,37,23,19,22,0,0,0,0,267,"49.8%",269,"50.2%",149,"27.8%",99,"18.5%",85,"15.9%",19,"3.5%",184,"34.3%",70,"13.1%",41,"7.6%",189,"35.3%"
"02M217","P.S./I.S. 217 Roosevelt Island","2015-16",587,36,87,99,105,75,64,58,22,24,17,0,0,0,0,283,"48.2%",304,"51.8%",171,"29.1%",92,"15.7%",84,"14.3%",27,"4.6%",213,"36.3%",68,"11.6%",43,"7.3%",206,"35.1%"
"02M225","Ella Baker School","2011-12",321,54,40,33,30,29,33,33,25,20,24,0,0,0,0,183,"57.0%",138,"43.0%",19,"5.9%",88,"27.4%",156,"48.6%",8,"2.5%",50,"15.6%",41,"12.8%",10,"3.1%",155,"48.3%"
"02M225","Ella Baker School","2012-13",318,52,37,30,34,31,27,35,27,26,19,0,0,0,0,179,"56.3%",139,"43.7%",14,"4.4%",91,"28.6%",137,"43.1%",6,"1.9%",70,"22.0%",48,"15.1%",11,"3.5%",152,"47.8%"
"02M225","Ella Baker School","2013-14",319,53,35,36,35,35,27,24,29,20,25,0,0,0,0,171,"53.6%",148,"46.4%",16,"5.0%",78,"24.5%",140,"43.9%",15,"4.7%",70,"21.9%",65,"20.4%",9,"2.8%",136,"42.6%"
"02M225","Ella Baker School","2014-15",323,53,37,32,38,26,36,31,23,28,19,0,0,0,0,158,"48.9%",165,"51.1%",12,"3.7%",68,"21.1%",135,"41.8%",18,"5.6%",90,"27.9%",69,"21.4%",12,"3.7%",140,"43.3%"
"02M225","Ella Baker School","2015-16",335,54,36,35,33,37,28,38,24,23,27,0,0,0,0,174,"51.9%",161,"48.1%",12,"3.6%",62,"18.5%",124,"37.0%",19,"5.7%",118,"35.2%",67,"20.0%",10,"3.0%",132,"39.4%"
"02M234","P.S. 234 Independence School","2011-12",827,0,125,135,122,178,153,114,0,0,0,0,0,0,0,410,"49.6%",417,"50.4%",113,"13.7%",24,"2.9%",66,"8.0%",40,"4.8%",584,"70.6%",123,"14.9%",6,"0.7%",56,"6.8%"
"02M234","P.S. 234 Independence School","2012-13",827,0,138,117,128,121,174,149,0,0,0,0,0,0,0,407,"49.2%",420,"50.8%",98,"11.9%",26,"3.1%",66,"8.0%",50,"6.0%",587,"71.0%",130,"15.7%",7,"0.8%",56,"6.8%"
"02M234","P.S. 234 Independence School","2013-14",785,0,123,136,119,125,120,162,0,0,0,0,0,0,0,394,"50.2%",391,"49.8%",100,"12.7%",18,"2.3%",65,"8.3%",60,"7.6%",542,"69.0%",146,"18.6%",10,"1.3%",45,"5.7%"
"02M234","P.S. 234 Independence School","2014-15",729,0,143,125,122,107,120,112,0,0,0,0,0,0,0,362,"49.7%",367,"50.3%",84,"11.5%",7,"1.0%",55,"7.5%",71,"9.7%",512,"70.2%",126,"17.3%",12,"1.6%",35,"4.8%"
"02M234","P.S. 234 Independence School","2015-16",704,0,130,133,114,120,100,107,0,0,0,0,0,0,0,350,"49.7%",354,"50.3%",75,"10.7%",9,"1.3%",59,"8.4%",70,"9.9%",491,"69.7%",121,"17.2%",9,"1.3%",23,"3.3%"
"02M255","M.S. 255 Salk School of Science","2011-12",386,0,0,0,0,0,0,0,133,132,121,0,0,0,0,209,"54.1%",177,"45.9%",68,"17.6%",17,"4.4%",49,"12.7%",6,"1.6%",246,"63.7%",51,"13.2%",1,"0.3%",61,"15.8%"
"02M255","M.S. 255 Salk School of Science","2012-13",386,0,0,0,0,0,0,0,130,126,130,0,0,0,0,214,"55.4%",172,"44.6%",72,"18.7%",20,"5.2%",47,"12.2%",5,"1.3%",242,"62.7%",49,"12.7%",1,"0.3%",64,"16.6%"
"02M255","M.S. 255 Salk School of Science","2013-14",378,0,0,0,0,0,0,0,129,123,126,0,0,0,0,215,"56.9%",163,"43.1%",79,"20.9%",18,"4.8%",38,"10.1%",10,"2.6%",233,"61.6%",52,"13.8%",0,"0.0%",61,"16.1%"
"02M255","M.S. 255 Salk School of Science","2014-15",365,0,0,0,0,0,0,0,130,120,115,0,0,0,0,220,"60.3%",145,"39.7%",78,"21.4%",14,"3.8%",31,"8.5%",10,"2.7%",232,"63.6%",48,"13.2%",0,"0.0%",41,"11.2%"
"02M255","M.S. 255 Salk School of Science","2015-16",374,0,0,0,0,0,0,0,129,121,124,0,0,0,0,229,"61.2%",145,"38.8%",70,"18.7%",12,"3.2%",35,"9.4%",23,"6.1%",234,"62.6%",51,"13.6%",0,"0.0%",41,"11.0%"
"02M260","M.S. 260 Clinton School Writers & Artists","2011-12",256,0,0,0,0,0,0,0,92,76,88,0,0,0,0,170,"66.4%",86,"33.6%",28,"10.9%",31,"12.1%",58,"22.7%",5,"2.0%",134,"52.3%",62,"24.2%",10,"3.9%",94,"36.7%"
"02M260","M.S. 260 Clinton School Writers & Artists","2012-13",249,0,0,0,0,0,0,0,81,90,78,0,0,0,0,162,"65.1%",87,"34.9%",34,"13.7%",31,"12.4%",57,"22.9%",3,"1.2%",124,"49.8%",57,"22.9%",5,"2.0%",101,"40.6%"
"02M260","M.S. 260 Clinton School Writers & Artists","2013-14",266,0,0,0,0,0,0,0,98,81,87,0,0,0,0,188,"70.7%",78,"29.3%",38,"14.3%",30,"11.3%",56,"21.1%",6,"2.3%",136,"51.1%",57,"21.4%",4,"1.5%",87,"32.7%"
"02M260","M.S. 260 Clinton School Writers & Artists","2014-15",270,0,0,0,0,0,0,0,88,97,85,0,0,0,0,206,"76.3%",64,"23.7%",41,"15.2%",17,"6.3%",38,"14.1%",9,"3.3%",165,"61.1%",46,"17.0%",3,"1.1%",56,"20.7%"
"02M260","M.S. 260 Clinton School Writers & Artists","2015-16",376,0,0,0,0,0,0,0,93,92,98,93,0,0,0,272,"72.3%",104,"27.7%",52,"13.8%",22,"5.9%",38,"10.1%",18,"4.8%",246,"65.4%",65,"17.3%",3,"0.8%",376,"100.0%"
"02M267","East Side Elementary School, PS 267","2011-12",98,0,62,36,0,0,0,0,0,0,0,0,0,0,0,48,"49.0%",50,"51.0%",10,"10.2%",5,"5.1%",12,"12.2%",3,"3.1%",68,"69.4%",13,"13.3%",8,"8.2%",12,"12.2%"
"02M267","East Side Elementary School, PS 267","2012-13",194,36,66,61,31,0,0,0,0,0,0,0,0,0,0,101,"52.1%",93,"47.9%",20,"10.3%",4,"2.1%",17,"8.8%",4,"2.1%",149,"76.8%",30,"15.5%",7,"3.6%",21,"10.8%"
"02M267","East Side Elementary School, PS 267","2013-14",261,33,73,72,58,25,0,0,0,0,0,0,0,0,0,135,"51.7%",126,"48.3%",25,"9.6%",4,"1.5%",14,"5.4%",5,"1.9%",213,"81.6%",54,"20.7%",12,"4.6%",20,"7.7%"
"02M267","East Side Elementary School, PS 267","2014-15",320,36,74,71,64,52,23,0,0,0,0,0,0,0,0,163,"50.9%",157,"49.1%",29,"9.1%",5,"1.6%",20,"6.3%",8,"2.5%",258,"80.6%",56,"17.5%",7,"2.2%",24,"7.5%"
"02M267","East Side Elementary School, PS 267","2015-16",365,18,88,61,64,66,48,20,0,0,0,0,0,0,0,187,"51.2%",178,"48.8%",39,"10.7%",6,"1.6%",27,"7.4%",8,"2.2%",285,"78.1%",66,"18.1%",16,"4.4%",24,"6.6%"
"02M276","Battery Park City School","2011-12",551,69,105,104,70,54,0,0,87,62,0,0,0,0,0,284,"51.5%",267,"48.5%",124,"22.5%",31,"5.6%",70,"12.7%",52,"9.4%",274,"49.7%",68,"12.3%",21,"3.8%",57,"10.3%"
"02M276","Battery Park City School","2012-13",801,68,122,110,108,85,59,0,96,89,64,0,0,0,0,391,"48.8%",410,"51.2%",175,"21.8%",48,"6.0%",115,"14.4%",47,"5.9%",416,"51.9%",106,"13.2%",35,"4.4%",90,"11.2%"
"02M276","Battery Park City School","2013-14",875,36,100,125,112,103,85,64,66,92,92,0,0,0,0,420,"48.0%",455,"52.0%",199,"22.7%",39,"4.5%",110,"12.6%",51,"5.8%",476,"54.4%",119,"13.6%",31,"3.5%",103,"11.8%"
"02M276","Battery Park City School","2014-15",857,0,100,96,114,107,106,89,94,62,89,0,0,0,0,406,"47.4%",451,"52.6%",191,"22.3%",39,"4.6%",99,"11.6%",53,"6.2%",475,"55.4%",139,"16.2%",18,"2.1%",77,"9.0%"
"02M276","Battery Park City School","2015-16",872,0,100,94,96,113,106,114,93,91,65,0,0,0,0,418,"47.9%",454,"52.1%",179,"20.5%",38,"4.4%",95,"10.9%",69,"7.9%",491,"56.3%",136,"15.6%",19,"2.2%",58,"6.7%"
"02M280","Manhattan Early College School for Advertising","2014-15",97,0,0,0,0,0,0,0,0,0,0,97,0,0,0,47,"48.5%",50,"51.5%",7,"7.2%",31,"32.0%",42,"43.3%",1,"1.0%",16,"16.5%",22,"22.7%",1,"1.0%",72,"74.2%"
"02M280","Manhattan Early College School for Advertising","2015-16",191,0,0,0,0,0,0,0,0,0,0,97,94,0,0,101,"52.9%",90,"47.1%",19,"9.9%",61,"31.9%",82,"42.9%",8,"4.2%",21,"11.0%",42,"22.0%",5,"2.6%",153,"80.1%"
"02M281","The River School","2013-14",85,35,50,0,0,0,0,0,0,0,0,0,0,0,0,45,"52.9%",40,"47.1%",30,"35.3%",3,"3.5%",15,"17.6%",3,"3.5%",34,"40.0%",10,"11.8%",5,"5.9%",24,"28.2%"
"02M281","The River School","2014-15",104,32,39,33,0,0,0,0,0,0,0,0,0,0,0,45,"43.3%",59,"56.7%",42,"40.4%",8,"7.7%",13,"12.5%",1,"1.0%",40,"38.5%",16,"15.4%",19,"18.3%",34,"32.7%"
"02M281","The River School","2015-16",152,34,62,31,25,0,0,0,0,0,0,0,0,0,0,72,"47.4%",80,"52.6%",46,"30.3%",14,"9.2%",24,"15.8%",2,"1.3%",66,"43.4%",23,"15.1%",27,"17.8%",48,"31.6%"
"02M282","Urban Assembly Maker Academy","2014-15",103,0,0,0,0,0,0,0,0,0,0,103,0,0,0,44,"42.7%",59,"57.3%",11,"10.7%",25,"24.3%",47,"45.6%",10,"9.7%",10,"9.7%",6,"5.8%",4,"3.9%",84,"81.6%"
"02M282","Urban Assembly Maker Academy","2015-16",199,0,0,0,0,0,0,0,0,0,0,108,91,0,0,65,"32.7%",134,"67.3%",20,"10.1%",49,"24.6%",100,"50.3%",11,"5.5%",19,"9.5%",24,"12.1%",7,"3.5%",152,"76.4%"
"02M288","Food and Finance High School","2011-12",433,0,0,0,0,0,0,0,0,0,0,135,122,88,88,238,"55.0%",195,"45.0%",13,"3.0%",191,"44.1%",206,"47.6%",2,"0.5%",21,"4.8%",79,"18.2%",9,"2.1%",343,"79.2%"
"02M288","Food and Finance High School","2012-13",433,0,0,0,0,0,0,0,0,0,0,124,127,101,81,256,"59.1%",177,"40.9%",18,"4.2%",185,"42.7%",209,"48.3%",2,"0.5%",19,"4.4%",77,"17.8%",12,"2.8%",355,"82.0%"
"02M288","Food and Finance High School","2013-14",443,0,0,0,0,0,0,0,0,0,0,124,118,100,101,247,"55.8%",196,"44.2%",22,"5.0%",185,"41.8%",216,"48.8%",2,"0.5%",18,"4.1%",71,"16.0%",13,"2.9%",366,"82.6%"
"02M288","Food and Finance High School","2014-15",427,0,0,0,0,0,0,0,0,0,0,115,118,105,89,222,"52.0%",205,"48.0%",20,"4.7%",170,"39.8%",222,"52.0%",2,"0.5%",13,"3.0%",67,"15.7%",13,"3.0%",339,"79.4%"
"02M288","Food and Finance High School","2015-16",410,0,0,0,0,0,0,0,0,0,0,117,104,94,95,222,"54.1%",188,"45.9%",19,"4.6%",167,"40.7%",215,"52.4%",2,"0.5%",7,"1.7%",68,"16.6%",12,"2.9%",344,"83.9%"
"02M289","I.S. 289","2011-12",292,0,0,0,0,0,0,0,105,89,98,0,0,0,0,153,"52.4%",139,"47.6%",116,"39.7%",24,"8.2%",52,"17.8%",7,"2.4%",93,"31.8%",50,"17.1%",7,"2.4%",125,"42.8%"
"02M289","I.S. 289","2012-13",293,0,0,0,0,0,0,0,102,102,89,0,0,0,0,162,"55.3%",131,"44.7%",112,"38.2%",25,"8.5%",50,"17.1%",2,"0.7%",104,"35.5%",53,"18.1%",5,"1.7%",136,"46.4%"
"02M289","I.S. 289","2013-14",293,0,0,0,0,0,0,0,95,101,97,0,0,0,0,162,"55.3%",131,"44.7%",102,"34.8%",29,"9.9%",44,"15.0%",4,"1.4%",114,"38.9%",49,"16.7%",2,"0.7%",114,"38.9%"
"02M289","I.S. 289","2014-15",292,0,0,0,0,0,0,0,104,92,96,0,0,0,0,158,"54.1%",134,"45.9%",103,"35.3%",23,"7.9%",46,"15.8%",8,"2.7%",112,"38.4%",49,"16.8%",4,"1.4%",101,"34.6%"
"02M289","I.S. 289","2015-16",289,0,0,0,0,0,0,0,99,100,90,0,0,0,0,158,"54.7%",131,"45.3%",111,"38.4%",24,"8.3%",37,"12.8%",7,"2.4%",110,"38.1%",53,"18.3%",3,"1.0%",121,"41.9%"
"02M290","P.S. 290 Manhattan New School","2011-12",635,0,103,103,131,122,96,80,0,0,0,0,0,0,0,315,"49.6%",320,"50.4%",88,"13.9%",21,"3.3%",54,"8.5%",19,"3.0%",453,"71.3%",82,"12.9%",22,"3.5%",78,"12.3%"
"02M290","P.S. 290 Manhattan New School","2012-13",662,0,103,105,107,130,116,101,0,0,0,0,0,0,0,334,"50.5%",328,"49.5%",85,"12.8%",23,"3.5%",56,"8.5%",30,"4.5%",468,"70.7%",92,"13.9%",24,"3.6%",86,"13.0%"
"02M290","P.S. 290 Manhattan New School","2013-14",675,0,105,103,109,112,129,117,0,0,0,0,0,0,0,345,"51.1%",330,"48.9%",83,"12.3%",15,"2.2%",49,"7.3%",40,"5.9%",488,"72.3%",108,"16.0%",33,"4.9%",82,"12.1%"
"02M290","P.S. 290 Manhattan New School","2014-15",646,0,112,109,91,94,115,125,0,0,0,0,0,0,0,344,"53.3%",302,"46.7%",75,"11.6%",9,"1.4%",46,"7.1%",37,"5.7%",479,"74.1%",98,"15.2%",26,"4.0%",65,"10.1%"
"02M290","P.S. 290 Manhattan New School","2015-16",627,0,112,115,107,86,93,114,0,0,0,0,0,0,0,329,"52.5%",298,"47.5%",68,"10.8%",9,"1.4%",54,"8.6%",41,"6.5%",455,"72.6%",87,"13.9%",19,"3.0%",63,"10.0%"
"02M294","Essex Street Academy","2011-12",343,0,0,0,0,0,0,0,0,0,0,93,97,69,84,160,"46.6%",183,"53.4%",14,"4.1%",95,"27.7%",208,"60.6%",0,"0.0%",26,"7.6%",73,"21.3%",13,"3.8%",244,"71.1%"
"02M294","Essex Street Academy","2012-13",340,0,0,0,0,0,0,0,0,0,0,83,93,88,76,170,"50.0%",170,"50.0%",19,"5.6%",102,"30.0%",183,"53.8%",8,"2.4%",28,"8.2%",74,"21.8%",11,"3.2%",243,"71.5%"
"02M294","Essex Street Academy","2013-14",349,0,0,0,0,0,0,0,0,0,0,86,98,85,80,176,"50.4%",173,"49.6%",19,"5.4%",113,"32.4%",177,"50.7%",15,"4.3%",25,"7.2%",81,"23.2%",13,"3.7%",256,"73.4%"
"02M294","Essex Street Academy","2014-15",358,0,0,0,0,0,0,0,0,0,0,91,89,91,87,182,"50.8%",176,"49.2%",21,"5.9%",138,"38.5%",148,"41.3%",9,"2.5%",42,"11.7%",93,"26.0%",15,"4.2%",246,"68.7%"
"02M294","Essex Street Academy","2015-16",356,0,0,0,0,0,0,0,0,0,0,87,105,83,81,180,"50.6%",176,"49.4%",21,"5.9%",136,"38.2%",154,"43.3%",18,"5.1%",27,"7.6%",98,"27.5%",14,"3.9%",252,"70.8%"
"02M296","High School of Hospitality Management","2011-12",419,0,0,0,0,0,0,0,0,0,0,154,101,79,85,284,"67.8%",135,"32.2%",22,"5.3%",111,"26.5%",277,"66.1%",0,"0.0%",9,"2.1%",79,"18.9%",45,"10.7%",368,"87.8%"
"02M296","High School of Hospitality Management","2012-13",399,0,0,0,0,0,0,0,0,0,0,126,118,90,65,261,"65.4%",138,"34.6%",26,"6.5%",98,"24.6%",265,"66.4%",3,"0.8%",7,"1.8%",71,"17.8%",33,"8.3%",364,"91.2%"
"02M296","High School of Hospitality Management","2013-14",431,0,0,0,0,0,0,0,0,0,0,133,113,102,83,298,"69.1%",133,"30.9%",24,"5.6%",99,"23.0%",294,"68.2%",5,"1.2%",9,"2.1%",81,"18.8%",27,"6.3%",397,"92.1%"
"02M296","High School of Hospitality Management","2014-15",424,0,0,0,0,0,0,0,0,0,0,137,102,88,97,306,"72.2%",118,"27.8%",21,"5.0%",89,"21.0%",301,"71.0%",5,"1.2%",8,"1.9%",74,"17.5%",33,"7.8%",382,"90.1%"
"02M296","High School of Hospitality Management","2015-16",402,0,0,0,0,0,0,0,0,0,0,131,103,80,88,293,"72.9%",109,"27.1%",16,"4.0%",97,"24.1%",274,"68.2%",7,"1.7%",8,"2.0%",76,"18.9%",34,"8.5%",362,"90.0%"
"02M298","Pace High School","2011-12",414,0,0,0,0,0,0,0,0,0,0,118,104,99,93,233,"56.3%",181,"43.7%",42,"10.1%",134,"32.4%",174,"42.0%",48,"11.6%",16,"3.9%",56,"13.5%",9,"2.2%",295,"71.3%"
"02M298","Pace High School","2012-13",426,0,0,0,0,0,0,0,0,0,0,135,107,92,92,253,"59.4%",173,"40.6%",36,"8.5%",150,"35.2%",176,"41.3%",53,"12.4%",11,"2.6%",60,"14.1%",7,"1.6%",320,"75.1%"
